Index;Year;Age;Name;Movie
1;1928;22;JanetGaynor;SeventhHeaven,StreetAngelandSunrise:ASongofTwoHumans
2;1929;37;MaryPickford;Coquette
3;1930;28;NormaShearer;TheDivorcee
4;1931;63;MarieDressler;MinandBill
5;1932;32;HelenHayes;TheSinofMadelonClaudet
6;1933;26;KatharineHepburn;MorningGlory
7;1934;31;ClaudetteColbert;ItHappenedOneNight
8;1935;27;BetteDavis;Dangerous
9;1936;27;LuiseRainer;TheGreatZiegfeld
10;1937;28;LuiseRainer;TheGoodEarth
11;1938;30;BetteDavis;Jezebel
12;1939;26;VivienLeigh;GonewiththeWind
13;1940;29;GingerRogers;KittyFoyle
14;1941;24;JoanFontaine;Suspicion
15;1942;38;GreerGarson;Mrs.Miniver
16;1943;25;JenniferJones;TheSongofBernadette
17;1944;29;IngridBergman;Gaslight
18;1945;40;JoanCrawford;MildredPierce
19;1946;30;OliviadeHavilland;ToEachHisOwn
20;1947;35;LorettaYoung;TheFarmer'sDaughter
21;1948;32;JaneWyman;JohnnyBelinda
22;1949;33;OliviadeHavilland;TheHeiress
23;1950;29;JudyHolliday;BornYesterday
24;1951;38;VivienLeigh;AStreetcarNamedDesire
25;1952;54;ShirleyBooth;ComeBack,LittleSheba
26;1953;24;AudreyHepburn;RomanHoliday
27;1954;25;GraceKelly;TheCountryGirl
28;1955;48;AnnaMagnani;TheRoseTattoo
29;1956;41;IngridBergman;Anastasia
30;1957;28;JoanneWoodward;TheThreeFacesofEve
31;1958;41;SusanHayward;IWanttoLive!
32;1959;39;SimoneSignoret;RoomattheTop
33;1960;29;ElizabethTaylor;BUtterfield8
34;1961;27;SophiaLoren;TwoWomen
35;1962;31;AnneBancroft;TheMiracleWorker
36;1963;31;PatriciaNeal;Hud
37;1964;29;JulieAndrews;MaryPoppins
38;1965;25;JulieChristie;Darling
39;1966;35;ElizabethTaylor;Who'sAfraidofVirginiaWoolf?
40;1967;60;KatharineHepburn;GuessWho'sComingtoDinner
41;1968;61;KatharineHepburn;TheLioninWinter
42;1969;26;BarbraStreisand;FunnyGirl
43;1970;35;MaggieSmith;ThePrimeofMissJeanBrodie
44;1971;34;GlendaJackson;WomeninLove
45;1972;34;JaneFonda;Klute
46;1973;27;LizaMinnelli;Cabaret
47;1974;37;GlendaJackson;ATouchofClassJodieFoster
48;1975;42;EllenBurstyn;AliceDoesn'tLiveHereAnymore
49;1976;41;LouiseFletcher;OneFlewOvertheCuckoo'sNest
50;1977;36;FayeDunaway;Network
51;1978;32;DianeKeaton;AnnieHall
52;1979;41;JaneFonda;ComingHome
53;1980;33;SallyField;NormaRae
54;1981;31;SissySpacek;CoalMiner'sDaughter
55;1982;74;KatharineHepburn;OnGoldenPond
56;1983;33;MerylStreep;Sophie'sChoice
57;1984;49;ShirleyMacLaine;TermsofEndearment
58;1985;38;SallyField;PlacesintheHeart
59;1986;61;GeraldinePage;TheTriptoBountiful
60;1987;21;MarleeMatlin;ChildrenofaLesserGod
61;1988;41;Cher;Moonstruck
62;1989;26;JodieFoster;TheAccused
63;1990;80;JessicaTandy;DrivingMissDaisy
64;1991;42;KathyBates;Misery
65;1992;29;JodieFoster;TheSilenceoftheLambs
66;1993;33;EmmaThompson;HowardsEnd
67;1994;36;HollyHunter;ThePiano
68;1995;45;JessicaLange;BlueSky
69;1996;49;SusanSarandon;DeadManWalking
70;1997;39;FrancesMcDormand;Fargo
71;1998;34;HelenHunt;AsGoodasItGets
72;1999;26;GwynethPaltrow;ShakespeareinLove
73;2000;25;HilarySwank;BoysDon'tCry
74;2001;33;JuliaRoberts;ErinBrockovich
75;2002;35;HalleBerry;Monster'sBall
76;2003;35;NicoleKidman;TheHours
77;2004;28;CharlizeTheron;Monster
78;2005;30;HilarySwank;MillionDollarBaby
79;2006;29;ReeseWitherspoon;WalktheLine
80;2007;61;HelenMirren;TheQueen
81;2008;32;MarionCotillard;LaVieenrose
82;2009;33;KateWinslet;TheReader
83;2010;45;SandraBullock;TheBlindSide
84;2011;29;NataliePortman;BlackSwan
85;2012;62;MerylStreep;TheIronLady
86;2013;22;JenniferLawrence;SilverLiningsPlaybook
87;2014;44;CateBlanchett;BlueJasmine
88;2015;54;JulianneMoore;StillAlice
89;2016;26;BrieLarson;Room
1;1928;44;EmilJannings;TheLastCommand,TheWayofAllFlesh
2;1929;41;WarnerBaxter;InOldArizona
3;1930;62;GeorgeArliss;Disraeli
4;1931;53;LionelBarrymore;AFreeSoul
5;1932;47;WallaceBeery;TheChamp
6;1933;35;FredricMarch;Dr.JekyllandMr.Hyde
7;1934;34;CharlesLaughton;ThePrivateLifeofHenryVIII
8;1935;34;ClarkGable;ItHappenedOneNight
9;1936;49;VictorMcLaglen;TheInformer
10;1937;41;PaulMuni;TheStoryofLouisPasteur
11;1938;37;SpencerTracy;CaptainsCourageous
12;1939;38;SpencerTracy;BoysTown
13;1940;34;RobertDonat;Goodbye,Mr.Chips
14;1941;32;JamesStewart;ThePhiladelphiaStory
15;1942;40;GaryCooper;SergeantYork
16;1943;43;JamesCagney;YankeeDoodleDandy
17;1944;48;PaulLukas;WatchontheRhine
18;1945;41;BingCrosby;GoingMyWay
19;1946;39;RayMilland;TheLostWeekend
20;1947;49;FredricMarch;TheBestYearsofOurLives
21;1948;57;RonaldColman;ADoubleLife
22;1949;41;LaurenceOlivier;Hamlet
23;1950;38;BroderickCrawford;AlltheKing'sMen
24;1951;39;JoséFerrer;CyranodeBergerac
25;1952;52;HumphreyBogart;TheAfricanQueen
26;1953;51;GaryCooper;HighNoon
27;1954;35;WilliamHolden;Stalag17
28;1955;30;MarlonBrando;OntheWaterfront
29;1956;39;ErnestBorgnine;Marty
30;1957;36;YulBrynner;TheKingandI
31;1958;43;AlecGuinness;TheBridgeontheRiverKwai
32;1959;49;DavidNiven;SeparateTables
33;1960;36;CharltonHeston;Ben-Hur
34;1961;47;BurtLancaster;ElmerGantry
35;1962;31;MaximilianSchell;JudgmentatNuremberg
36;1963;47;GregoryPeck;ToKillaMockingbird
37;1964;37;SidneyPoitier;LiliesoftheField
38;1965;57;RexHarrison;MyFairLady
39;1966;42;LeeMarvin;CatBallou
40;1967;45;PaulScofield;AManforAllSeasons
41;1968;42;RodSteiger;IntheHeatoftheNight
42;1969;45;CliffRobertson;Charly
43;1970;62;JohnWayne;TrueGrit
44;1971;43;GeorgeC.Scott;Patton
45;1972;42;GeneHackman;TheFrenchConnection
46;1973;48;MarlonBrando;TheGodfather
47;1974;49;JackLemmon;SavetheTiger
48;1975;56;ArtCarney;HarryandTonto
49;1976;38;JackNicholson;OneFlewOvertheCuckoo'sNest
50;1977;60;PeterFinch;Network
51;1978;30;RichardDreyfuss;TheGoodbyeGirl
52;1979;40;JonVoight;ComingHome
53;1980;42;DustinHoffman;Kramervs.Kramer
54;1981;37;RobertDeNiro;RagingBull
55;1982;76;HenryFonda;OnGoldenPond
56;1983;39;BenKingsley;Gandhi
57;1984;53;RobertDuvall;TenderMercies
58;1985;45;F.MurrayAbraham;Amadeus
59;1986;36;WilliamHurt;KissoftheSpiderWoman
60;1987;62;PaulNewman;TheColorofMoney
61;1988;43;MichaelDouglas;WallStreet
62;1989;51;DustinHoffman;RainMan
63;1990;32;DanielDay-Lewis;MyLeftFoot
64;1991;42;JeremyIrons;ReversalofFortune
65;1992;54;AnthonyHopkins;TheSilenceoftheLambs
66;1993;52;AlPacino;ScentofaWoman
67;1994;37;TomHanks;Philadelphia
68;1995;38;TomHanks;ForrestGump
69;1996;32;NicolasCage;LeavingLasVegas
70;1997;45;GeoffreyRush;Shine
71;1998;60;JackNicholson;AsGoodasItGets
72;1999;46;RobertoBenigni;LifeIsBeautiful
73;2000;40;KevinSpacey;AmericanBeauty
74;2001;36;RussellCrowe;Gladiator
75;2002;47;DenzelWashington;TrainingDay
76;2003;29;AdrienBrody;ThePianist
77;2004;43;SeanPenn;MysticRiver
78;2005;37;JamieFoxx;Ray
79;2006;38;PhilipSeymourHoffman;Capote
80;2007;45;ForestWhitaker;TheLastKingofScotland
81;2008;50;DanielDay-Lewis;ThereWillBeBlood
82;2009;48;SeanPenn;Milk
83;2010;60;JeffBridges;CrazyHeart
84;2011;50;ColinFirth;TheKing'sSpeech
85;2012;39;JeanDujardin;TheArtist
86;2013;55;DanielDay-Lewis;Lincoln
87;2014;44;MatthewMcConaughey;DallasBuyersClub
